sample_id	allergic	body_site	sample_number
10A	no	axilla	1
10Int	no	interdigital	2
10L	no	groin	3
10O	no	ear_canal	4
11A	no	axilla	5
11Int	no	interdigital	6
11L	no	groin	7
11O	no	ear_canal	8
1A	no	axilla	9
1Int	no	interdigital	10
1L	no	groin	11
1O	no	ear_canal	12
25A	no	axilla	13
25Int	no	interdigital	14
25L	no	groin	15
25O	no	ear_canal	16
26A	no	axilla	17
26Int	no	interdigital	18
26L	no	groin	19
26O	no	ear_canal	20
28A	no	axilla	21
28Int	no	interdigital	22
28L	no	groin	23
28O	no	ear_canal	24
29A	no	axilla	25
29Int	no	interdigital	26
29L	no	groin	27
29O	no	ear_canal	28
2A	no	axilla	29
2Int	no	interdigital	30
2L	no	groin	31
2O	no	ear_canal	32
5A	no	axilla	33
5Int	no	interdigital	34
5L	no	groin	35
5O	no	ear_canal	36
6A	no	axilla	37
6Int	no	interdigital	38
6L	no	groin	39
6O	no	ear_canal	40
7A	no	axilla	41
7Int	no	interdigital	42
7L	no	groin	43
7O	no	ear_canal	44
8A	no	axilla	45
8Int	no	interdigital	46
8L	no	groin	47
8O	no	ear_canal	48
a12A	yes	axilla	49
a12Int	yes	interdigital	50
a12L	yes	groin	51
a12O	yes	ear_canal	52
a13A	yes	axilla	53
a13Int	yes	interdigital	54
a13L	yes	groin	55
a13O	yes	ear_canal	56
a14A	yes	axilla	57
a14Int	yes	interdigital	58
a14L	yes	groin	59
a14O	yes	ear_canal	60
a15A	yes	axilla	61
a15Int	yes	interdigital	62
a15L	yes	groin	63
a15O	yes	ear_canal	64
a16A	yes	axilla	65
a16Int	yes	interdigital	66
a16L	yes	groin	67
a16O	yes	ear_canal	68
a17A	yes	axilla	69
a17Int	yes	interdigital	70
a17L	yes	groin	71
a17O	yes	ear_canal	72
a18A	yes	axilla	73
a18Int	yes	interdigital	74
a18L	yes	groin	75
a18O	yes	ear_canal	76
a21A	yes	axilla	77
a21Int	yes	interdigital	78
a21L	yes	groin	79
a21O	yes	ear_canal	80
a22A	yes	axilla	81
a22Int	yes	interdigital	82
a22L	yes	groin	83
a22O	yes	ear_canal	84
a24A	yes	axilla	85
a24Int	yes	interdigital	86
a24L	yes	groin	87
a24O	yes	ear_canal	88
a27A	yes	axilla	89
a27Int	yes	interdigital	90
a27L	yes	groin	91
a27O	yes	ear_canal	92
a9A	yes	axilla	93
a9Int	yes	interdigital	94
a9L	yes	groin	95
a9O	yes	ear_canal	96
