sample-id	allergic	body_site	sample_number
#q2:types	categorical	categorical	numeric
skin1	no	axilla	1
skin2	no	interdigital	2
skin3	no	groin	3
skin4	no	ear_canal	4
skin5	no	axilla	5
skin6	no	interdigital	6
skin7	no	groin	7
skin8	no	ear_canal	8
skin9	no	axilla	9
skin10	no	interdigital	10
skin11	no	groin	11
skin12	no	ear_canal	12
skin13	no	axilla	13
skin14	no	interdigital	14
skin15	no	groin	15
skin16	no	ear_canal	16
skin17	no	axilla	17
skin18	no	interdigital	18
skin19	no	groin	19
skin20	no	ear_canal	20
skin21	no	axilla	21
skin22	no	interdigital	22
skin23	no	groin	23
skin24	no	ear_canal	24
skin25	no	axilla	25
skin26	no	interdigital	26
skin27	no	groin	27
skin28	no	ear_canal	28
skin29	no	axilla	29
skin30	no	interdigital	30
skin31	no	groin	31
skin32	no	ear_canal	32
skin33	no	axilla	33
skin34	no	interdigital	34
skin35	no	groin	35
skin36	no	ear_canal	36
skin37	no	axilla	37
skin38	no	interdigital	38
skin39	no	groin	39
skin40	no	ear_canal	40
skin41	no	axilla	41
skin42	no	interdigital	42
skin43	no	groin	43
skin44	no	ear_canal	44
skin45	no	axilla	45
skin46	no	interdigital	46
skin47	no	groin	47
skin48	no	ear_canal	48
skin49	yes	axilla	49
skin50	yes	interdigital	50
skin51	yes	groin	51
skin52	yes	ear_canal	52
skin53	yes	axilla	53
skin54	yes	interdigital	54
skin55	yes	groin	55
skin56	yes	ear_canal	56
skin57	yes	axilla	57
skin58	yes	interdigital	58
skin59	yes	groin	59
skin60	yes	ear_canal	60
skin61	yes	axilla	61
skin62	yes	interdigital	62
skin63	yes	groin	63
skin64	yes	ear_canal	64
skin65	yes	axilla	65
skin66	yes	interdigital	66
skin67	yes	groin	67
skin68	yes	ear_canal	68
skin69	yes	axilla	69
skin70	yes	interdigital	70
skin71	yes	groin	71
skin72	yes	ear_canal	72
skin73	yes	axilla	73
skin74	yes	interdigital	74
skin75	yes	groin	75
skin76	yes	ear_canal	76
skin77	yes	axilla	77
skin78	yes	interdigital	78
skin79	yes	groin	79
skin80	yes	ear_canal	80
skin81	yes	axilla	81
skin82	yes	interdigital	82
skin83	yes	groin	83
skin84	yes	ear_canal	84
skin85	yes	axilla	85
skin86	yes	interdigital	86
skin87	yes	groin	87
skin88	yes	ear_canal	88
skin89	yes	axilla	89
skin90	yes	interdigital	90
skin91	yes	groin	91
skin92	yes	ear_canal	92
skin93	yes	axilla	93
skin94	yes	interdigital	94
skin95	yes	groin	95
skin96	yes	ear_canal	96
